Episode,Cumulative Reward
0.0,21.0
10.0,224.0
20.0,424.0
30.0,641.0
40.0,859.0
50.0,1065.0
60.0,1277.0
70.0,1494.0
80.0,1721.0
90.0,1940.0
100.0,2177.0
110.0,2411.0
120.0,2642.0
130.0,2883.0
140.0,3125.0
150.0,3362.0
160.0,3603.0
170.0,3849.0
180.0,4095.0
190.0,4341.0
200.0,4595.0
210.0,4845.0
220.0,5092.0
230.0,5346.0
240.0,5600.0
250.0,5851.0
260.0,6107.0
270.0,6362.0
280.0,6621.0
290.0,6874.0
300.0,7125.0
310.0,7380.0
320.0,7636.0
330.0,7892.0
340.0,8148.0
350.0,8398.0
360.0,8656.0
370.0,8916.0
380.0,9175.0
390.0,9433.0
400.0,9692.0
410.0,9950.0
420.0,10210.0
430.0,10469.0
440.0,10727.0
450.0,10987.0
460.0,11247.0
470.0,11505.0
480.0,11765.0
490.0,12024.0
500.0,12284.0
510.0,12544.0
520.0,12803.0
530.0,13063.0
540.0,13323.0
550.0,13582.0
560.0,13843.0
570.0,14102.0
580.0,14362.0
590.0,14622.0
600.0,14882.0
610.0,15142.0
620.0,15402.0
630.0,15661.0
640.0,15920.0
650.0,16179.0
660.0,16439.0
670.0,16699.0
680.0,16959.0
690.0,17219.0
700.0,17478.0
710.0,17736.0
720.0,17996.0
730.0,18256.0
740.0,18516.0
750.0,18775.0
760.0,19034.0
770.0,19294.0
780.0,19554.0
790.0,19814.0
800.0,20073.0
810.0,20332.0
820.0,20590.0
830.0,20850.0
840.0,21106.0
850.0,21365.0
860.0,21620.0
870.0,21875.0
880.0,22135.0
890.0,22394.0
900.0,22654.0
910.0,22914.0
920.0,23174.0
930.0,23434.0
940.0,23694.0
950.0,23954.0
960.0,24214.0
970.0,24473.0
980.0,24731.0
990.0,24985.0
