Episode,Cumulative Reward
0.0,225.0
10.0,2473.0
20.0,4704.0
30.0,6945.0
40.0,9192.0
50.0,11425.0
60.0,13674.0
70.0,15945.0
80.0,18202.0
90.0,20454.0
100.0,22706.0
110.0,24971.0
120.0,27243.0
130.0,29512.0
140.0,31794.0
150.0,34065.0
160.0,36329.0
170.0,38594.0
180.0,40869.0
190.0,43147.0
200.0,45422.0
210.0,47702.0
220.0,49976.0
230.0,52251.0
240.0,54531.0
250.0,56806.0
260.0,59086.0
270.0,61359.0
280.0,63636.0
290.0,65912.0
300.0,68191.0
310.0,70468.0
320.0,72745.0
330.0,75029.0
340.0,77311.0
350.0,79590.0
360.0,81873.0
370.0,84153.0
380.0,86432.0
390.0,88713.0
400.0,90993.0
410.0,93273.0
420.0,95553.0
430.0,97830.0
440.0,100109.0
450.0,102389.0
460.0,104669.0
470.0,106949.0
480.0,109228.0
490.0,111508.0
500.0,113788.0
510.0,116068.0
520.0,118348.0
530.0,120628.0
540.0,122907.0
550.0,125187.0
560.0,127466.0
570.0,129747.0
580.0,132027.0
590.0,134307.0
600.0,136587.0
610.0,138869.0
620.0,141149.0
630.0,143429.0
640.0,145709.0
650.0,147989.0
660.0,150269.0
670.0,152549.0
680.0,154829.0
690.0,157109.0
700.0,159389.0
710.0,161669.0
720.0,163949.0
730.0,166229.0
740.0,168506.0
750.0,170786.0
760.0,173066.0
770.0,175341.0
780.0,177621.0
790.0,179901.0
800.0,182182.0
810.0,184462.0
820.0,186742.0
830.0,189019.0
840.0,191299.0
850.0,193580.0
860.0,195860.0
870.0,198139.0
880.0,200419.0
890.0,202696.0
900.0,204972.0
910.0,207253.0
920.0,209534.0
930.0,211814.0
940.0,214093.0
950.0,216373.0
960.0,218652.0
970.0,220932.0
980.0,223213.0
990.0,225493.0
