Episode,Cumulative Reward
0.0,210.0
10.0,2322.0
20.0,4432.0
30.0,6550.0
40.0,8669.0
50.0,10786.0
60.0,12907.0
70.0,15027.0
80.0,17146.0
90.0,19266.0
100.0,21383.0
110.0,23502.0
120.0,25620.0
130.0,27740.0
140.0,29860.0
150.0,31980.0
160.0,34100.0
170.0,36220.0
180.0,38340.0
190.0,40460.0
200.0,42576.0
210.0,44695.0
220.0,46812.0
230.0,48932.0
240.0,51052.0
250.0,53173.0
260.0,55293.0
270.0,57412.0
280.0,59532.0
290.0,61651.0
300.0,63772.0
310.0,65891.0
320.0,68010.0
330.0,70129.0
340.0,72247.0
350.0,74365.0
360.0,76485.0
370.0,78605.0
380.0,80723.0
390.0,82843.0
400.0,84963.0
410.0,87083.0
420.0,89203.0
430.0,91323.0
440.0,93443.0
450.0,95562.0
460.0,97679.0
470.0,99799.0
480.0,101918.0
490.0,104038.0
500.0,106158.0
510.0,108277.0
520.0,110394.0
530.0,112514.0
540.0,114634.0
550.0,116754.0
560.0,118873.0
570.0,120993.0
580.0,123113.0
590.0,125233.0
600.0,127353.0
610.0,129473.0
620.0,131593.0
630.0,133713.0
640.0,135833.0
650.0,137953.0
660.0,140073.0
670.0,142194.0
680.0,144314.0
690.0,146434.0
700.0,148554.0
710.0,150674.0
720.0,152794.0
730.0,154914.0
740.0,157034.0
750.0,159154.0
760.0,161274.0
770.0,163393.0
780.0,165509.0
790.0,167629.0
800.0,169747.0
810.0,171867.0
820.0,173987.0
830.0,176107.0
840.0,178227.0
850.0,180346.0
860.0,182466.0
870.0,184586.0
880.0,186706.0
890.0,188826.0
900.0,190946.0
910.0,193066.0
920.0,195186.0
930.0,197306.0
940.0,199422.0
950.0,201539.0
960.0,203659.0
970.0,205779.0
980.0,207896.0
990.0,210015.0
