Episode,Cumulative Reward
0.0,101.0
10.0,1107.0
20.0,2111.0
30.0,3116.0
40.0,4120.0
50.0,5123.0
60.0,6125.0
70.0,7129.0
80.0,8130.0
90.0,9131.0
100.0,10133.0
110.0,11135.0
120.0,12137.0
130.0,13139.0
140.0,14141.0
150.0,15141.0
160.0,16143.0
170.0,17143.0
180.0,18144.0
190.0,19144.0
200.0,20145.0
210.0,21145.0
220.0,22146.0
230.0,23147.0
240.0,24148.0
250.0,25148.0
260.0,26148.0
270.0,27148.0
280.0,28148.0
290.0,29148.0
300.0,30149.0
310.0,31149.0
320.0,32149.0
330.0,33150.0
340.0,34150.0
350.0,35150.0
360.0,36150.0
370.0,37150.0
380.0,38150.0
390.0,39150.0
400.0,40150.0
410.0,41150.0
420.0,42150.0
430.0,43150.0
440.0,44150.0
450.0,45150.0
460.0,46150.0
470.0,47150.0
480.0,48150.0
490.0,49150.0
500.0,50150.0
510.0,51150.0
520.0,52150.0
530.0,53150.0
540.0,54150.0
550.0,55150.0
560.0,56150.0
570.0,57150.0
580.0,58150.0
590.0,59150.0
600.0,60150.0
610.0,61150.0
620.0,62150.0
630.0,63150.0
640.0,64150.0
650.0,65150.0
660.0,66150.0
670.0,67150.0
680.0,68150.0
690.0,69150.0
700.0,70150.0
710.0,71150.0
720.0,72150.0
730.0,73150.0
740.0,74150.0
750.0,75150.0
760.0,76151.0
770.0,77151.0
780.0,78151.0
790.0,79151.0
800.0,80151.0
810.0,81151.0
820.0,82151.0
830.0,83151.0
840.0,84151.0
850.0,85151.0
860.0,86151.0
870.0,87151.0
880.0,88151.0
890.0,89151.0
900.0,90151.0
910.0,91151.0
920.0,92151.0
930.0,93151.0
940.0,94151.0
950.0,95151.0
960.0,96151.0
970.0,97151.0
980.0,98151.0
990.0,99151.0
