Episode,Cumulative Reward
0.0,100.0
10.0,1104.0
20.0,2108.0
30.0,3111.0
40.0,4117.0
50.0,5122.0
60.0,6124.0
70.0,7128.0
80.0,8128.0
90.0,9128.0
100.0,10130.0
110.0,11131.0
120.0,12132.0
130.0,13136.0
140.0,14137.0
150.0,15138.0
160.0,16143.0
170.0,17145.0
180.0,18145.0
190.0,19145.0
200.0,20146.0
210.0,21148.0
220.0,22150.0
230.0,23150.0
240.0,24150.0
250.0,25150.0
260.0,26150.0
270.0,27150.0
280.0,28150.0
290.0,29150.0
300.0,30150.0
310.0,31150.0
320.0,32150.0
330.0,33150.0
340.0,34150.0
350.0,35150.0
360.0,36150.0
370.0,37150.0
380.0,38150.0
390.0,39150.0
400.0,40150.0
410.0,41151.0
420.0,42151.0
430.0,43151.0
440.0,44151.0
450.0,45153.0
460.0,46153.0
470.0,47153.0
480.0,48153.0
490.0,49153.0
500.0,50153.0
510.0,51153.0
520.0,52153.0
530.0,53153.0
540.0,54153.0
550.0,55153.0
560.0,56153.0
570.0,57153.0
580.0,58153.0
590.0,59153.0
600.0,60153.0
610.0,61153.0
620.0,62153.0
630.0,63153.0
640.0,64153.0
650.0,65153.0
660.0,66153.0
670.0,67153.0
680.0,68153.0
690.0,69153.0
700.0,70153.0
710.0,71153.0
720.0,72153.0
730.0,73153.0
740.0,74153.0
750.0,75153.0
760.0,76153.0
770.0,77153.0
780.0,78153.0
790.0,79153.0
800.0,80153.0
810.0,81153.0
820.0,82153.0
830.0,83153.0
840.0,84153.0
850.0,85153.0
860.0,86153.0
870.0,87153.0
880.0,88153.0
890.0,89153.0
900.0,90153.0
910.0,91153.0
920.0,92153.0
930.0,93153.0
940.0,94154.0
950.0,95154.0
960.0,96154.0
970.0,97154.0
980.0,98154.0
990.0,99154.0
