Episode,Cumulative Reward
0.0,101.0
1.0,202.0
2.0,303.0
3.0,305.0
4.0,307.0
5.0,408.0
6.0,410.0
7.0,412.0
8.0,513.0
9.0,515.0
10.0,616.0
11.0,618.0
12.0,620.0
13.0,722.0
14.0,824.0
15.0,926.0
16.0,1027.0
17.0,1128.0
18.0,1130.0
19.0,1232.0
20.0,1234.0
21.0,1336.0
22.0,1438.0
23.0,1540.0
24.0,1642.0
25.0,1744.0
26.0,1846.0
27.0,1948.0
28.0,2050.0
29.0,2152.0
30.0,2254.0
31.0,2356.0
32.0,2458.0
33.0,2560.0
34.0,2562.0
35.0,2664.0
36.0,2766.0
37.0,2868.0
38.0,2970.0
39.0,3072.0
40.0,3174.0
41.0,3275.0
42.0,3377.0
43.0,3479.0
44.0,3581.0
45.0,3683.0
46.0,3785.0
47.0,3887.0
48.0,3989.0
49.0,4091.0
50.0,4193.0
51.0,4295.0
52.0,4397.0
53.0,4499.0
54.0,4601.0
55.0,4703.0
56.0,4805.0
57.0,4907.0
58.0,5009.0
59.0,5111.0
60.0,5213.0
61.0,5315.0
62.0,5417.0
63.0,5519.0
64.0,5621.0
65.0,5723.0
66.0,5725.0
67.0,5827.0
68.0,5929.0
69.0,6031.0
70.0,6133.0
71.0,6235.0
72.0,6337.0
73.0,6439.0
74.0,6541.0
75.0,6643.0
76.0,6745.0
77.0,6847.0
78.0,6949.0
79.0,7051.0
80.0,7153.0
81.0,7255.0
82.0,7357.0
83.0,7459.0
84.0,7561.0
85.0,7663.0
86.0,7765.0
87.0,7867.0
88.0,7969.0
89.0,8071.0
90.0,8173.0
91.0,8275.0
92.0,8377.0
93.0,8479.0
94.0,8581.0
95.0,8683.0
96.0,8785.0
97.0,8887.0
98.0,8989.0
99.0,9091.0
100.0,9193.0
101.0,9295.0
102.0,9397.0
103.0,9499.0
104.0,9601.0
105.0,9703.0
106.0,9805.0
107.0,9907.0
108.0,10009.0
109.0,10111.0
110.0,10213.0
111.0,10314.0
112.0,10416.0
113.0,10518.0
114.0,10620.0
115.0,10722.0
116.0,10824.0
117.0,10926.0
118.0,11028.0
119.0,11130.0
120.0,11232.0
121.0,11334.0
122.0,11436.0
123.0,11538.0
124.0,11640.0
125.0,11742.0
126.0,11844.0
127.0,11946.0
128.0,12048.0
129.0,12150.0
130.0,12252.0
131.0,12354.0
132.0,12456.0
133.0,12558.0
134.0,12660.0
135.0,12762.0
