Episode,Cumulative Reward
0.0,107.0
10.0,1177.0
20.0,2247.0
30.0,3317.0
40.0,4387.0
50.0,5457.0
60.0,6527.0
70.0,7597.0
80.0,8667.0
90.0,9737.0
100.0,10807.0
110.0,11877.0
120.0,12947.0
130.0,14017.0
140.0,15087.0
150.0,16157.0
160.0,17227.0
170.0,18297.0
180.0,19367.0
190.0,20437.0
200.0,21507.0
210.0,22577.0
220.0,23647.0
230.0,24717.0
240.0,25787.0
250.0,26857.0
260.0,27927.0
270.0,28997.0
280.0,30067.0
290.0,31137.0
300.0,32207.0
310.0,33277.0
320.0,34347.0
330.0,35417.0
340.0,36487.0
350.0,37557.0
360.0,38627.0
370.0,39697.0
380.0,40767.0
390.0,41837.0
400.0,42907.0
410.0,43977.0
420.0,45047.0
430.0,46117.0
440.0,47187.0
450.0,48257.0
460.0,49327.0
470.0,50397.0
480.0,51467.0
490.0,52537.0
500.0,53607.0
510.0,54677.0
520.0,55747.0
530.0,56817.0
540.0,57887.0
550.0,58957.0
560.0,60027.0
570.0,61097.0
580.0,62167.0
590.0,63237.0
600.0,64307.0
610.0,65377.0
620.0,66447.0
630.0,67517.0
640.0,68587.0
650.0,69657.0
660.0,70727.0
670.0,71797.0
680.0,72867.0
690.0,73937.0
700.0,75007.0
710.0,76077.0
720.0,77147.0
730.0,78217.0
740.0,79287.0
750.0,80357.0
760.0,81427.0
770.0,82497.0
780.0,83567.0
790.0,84637.0
800.0,85707.0
810.0,86777.0
820.0,87847.0
830.0,88917.0
840.0,89987.0
850.0,91057.0
860.0,92127.0
870.0,93197.0
880.0,94267.0
890.0,95337.0
900.0,96407.0
910.0,97477.0
920.0,98547.0
930.0,99617.0
940.0,100687.0
950.0,101757.0
960.0,102827.0
970.0,103897.0
980.0,104967.0
990.0,106037.0
