Episode,Cumulative Reward
0.0,7.0
1.0,14.0
2.0,21.0
3.0,128.0
4.0,235.0
5.0,342.0
6.0,449.0
7.0,556.0
8.0,663.0
9.0,770.0
10.0,877.0
11.0,984.0
12.0,1091.0
13.0,1198.0
14.0,1305.0
15.0,1412.0
16.0,1519.0
17.0,1526.0
18.0,1633.0
19.0,1740.0
20.0,1847.0
21.0,1954.0
22.0,2061.0
23.0,2168.0
24.0,2275.0
25.0,2382.0
26.0,2489.0
27.0,2596.0
28.0,2703.0
29.0,2810.0
30.0,2917.0
31.0,3024.0
32.0,3131.0
33.0,3238.0
34.0,3345.0
35.0,3452.0
36.0,3559.0
37.0,3666.0
38.0,3773.0
39.0,3880.0
40.0,3987.0
41.0,4094.0
42.0,4201.0
43.0,4308.0
44.0,4415.0
45.0,4422.0
46.0,4529.0
47.0,4636.0
48.0,4743.0
49.0,4850.0
50.0,4957.0
51.0,5064.0
52.0,5171.0
53.0,5278.0
54.0,5385.0
55.0,5492.0
56.0,5599.0
57.0,5706.0
58.0,5813.0
59.0,5920.0
60.0,6027.0
61.0,6134.0
62.0,6241.0
63.0,6348.0
64.0,6455.0
65.0,6562.0
66.0,6669.0
67.0,6776.0
68.0,6883.0
69.0,6990.0
70.0,7097.0
71.0,7204.0
72.0,7311.0
73.0,7418.0
74.0,7525.0
75.0,7632.0
76.0,7739.0
77.0,7846.0
78.0,7953.0
79.0,8060.0
80.0,8167.0
81.0,8274.0
82.0,8381.0
83.0,8488.0
84.0,8595.0
85.0,8702.0
86.0,8809.0
87.0,8916.0
88.0,9023.0
89.0,9130.0
90.0,9237.0
91.0,9344.0
92.0,9451.0
93.0,9558.0
94.0,9665.0
95.0,9772.0
96.0,9879.0
97.0,9986.0
98.0,10093.0
99.0,10200.0
100.0,10307.0
101.0,10414.0
102.0,10521.0
103.0,10628.0
104.0,10735.0
105.0,10842.0
106.0,10949.0
107.0,11056.0
108.0,11163.0
109.0,11270.0
110.0,11377.0
111.0,11484.0
112.0,11591.0
113.0,11698.0
114.0,11805.0
115.0,11912.0
116.0,12019.0
117.0,12126.0
118.0,12233.0
119.0,12340.0
120.0,12447.0
121.0,12554.0
122.0,12661.0
123.0,12768.0
124.0,12875.0
125.0,12982.0
126.0,13089.0
127.0,13196.0
128.0,13303.0
129.0,13410.0
130.0,13417.0
131.0,13524.0
132.0,13631.0
133.0,13738.0
134.0,13845.0
135.0,13952.0
136.0,14059.0
137.0,14166.0
138.0,14273.0
139.0,14380.0
140.0,14487.0
141.0,14594.0
142.0,14701.0
143.0,14808.0
144.0,14915.0
145.0,15022.0
146.0,15129.0
147.0,15236.0
148.0,15343.0
149.0,15450.0
150.0,15557.0
151.0,15664.0
152.0,15771.0
153.0,15878.0
154.0,15985.0
155.0,16092.0
156.0,16199.0
157.0,16306.0
158.0,16413.0
159.0,16520.0
160.0,16627.0
161.0,16734.0
162.0,16841.0
163.0,16948.0
164.0,17055.0
165.0,17162.0
166.0,17269.0
167.0,17376.0
168.0,17483.0
169.0,17590.0
170.0,17697.0
171.0,17804.0
172.0,17911.0
173.0,18018.0
174.0,18125.0
175.0,18132.0
176.0,18239.0
177.0,18346.0
178.0,18453.0
179.0,18560.0
180.0,18667.0
181.0,18774.0
182.0,18881.0
183.0,18988.0
184.0,19095.0
185.0,19202.0
186.0,19309.0
187.0,19416.0
188.0,19523.0
189.0,19630.0
190.0,19737.0
191.0,19844.0
192.0,19951.0
193.0,20058.0
194.0,20165.0
195.0,20272.0
196.0,20379.0
197.0,20486.0
198.0,20593.0
199.0,20700.0
200.0,20807.0
201.0,20914.0
202.0,21021.0
203.0,21128.0
204.0,21235.0
205.0,21342.0
206.0,21449.0
207.0,21556.0
208.0,21663.0
209.0,21770.0
210.0,21877.0
211.0,21984.0
212.0,22091.0
213.0,22198.0
214.0,22305.0
215.0,22412.0
216.0,22519.0
217.0,22626.0
218.0,22733.0
219.0,22840.0
220.0,22947.0
221.0,23054.0
222.0,23161.0
223.0,23268.0
224.0,23375.0
225.0,23482.0
226.0,23589.0
227.0,23696.0
228.0,23803.0
229.0,23910.0
230.0,24017.0
231.0,24124.0
232.0,24231.0
233.0,24338.0
234.0,24445.0
235.0,24552.0
236.0,24659.0
237.0,24766.0
238.0,24873.0
239.0,24980.0
240.0,25087.0
241.0,25194.0
242.0,25301.0
243.0,25408.0
244.0,25515.0
245.0,25622.0
246.0,25729.0
247.0,25836.0
248.0,25943.0
249.0,26050.0
250.0,26157.0
251.0,26264.0
252.0,26371.0
253.0,26478.0
254.0,26585.0
255.0,26692.0
256.0,26799.0
257.0,26906.0
258.0,27013.0
259.0,27120.0
260.0,27227.0
261.0,27334.0
262.0,27441.0
263.0,27548.0
264.0,27655.0
265.0,27762.0
266.0,27869.0
267.0,27976.0
268.0,28083.0
269.0,28190.0
270.0,28297.0
271.0,28404.0
272.0,28511.0
273.0,28618.0
274.0,28725.0
275.0,28832.0
276.0,28939.0
277.0,29046.0
278.0,29153.0
279.0,29260.0
280.0,29367.0
281.0,29474.0
282.0,29581.0
283.0,29688.0
284.0,29795.0
285.0,29902.0
286.0,30009.0
287.0,30116.0
288.0,30223.0
289.0,30330.0
290.0,30437.0
291.0,30544.0
292.0,30651.0
293.0,30758.0
294.0,30865.0
295.0,30972.0
296.0,31079.0
297.0,31186.0
298.0,31293.0
299.0,31400.0
300.0,31507.0
301.0,31614.0
302.0,31721.0
303.0,31828.0
304.0,31935.0
305.0,32042.0
306.0,32149.0
307.0,32256.0
308.0,32363.0
309.0,32470.0
310.0,32577.0
311.0,32684.0
312.0,32791.0
313.0,32898.0
314.0,33005.0
315.0,33112.0
316.0,33219.0
317.0,33326.0
318.0,33433.0
319.0,33540.0
320.0,33647.0
321.0,33754.0
322.0,33861.0
323.0,33968.0
324.0,34075.0
325.0,34182.0
326.0,34289.0
327.0,34396.0
328.0,34503.0
329.0,34610.0
330.0,34717.0
331.0,34824.0
332.0,34931.0
333.0,35038.0
334.0,35145.0
335.0,35252.0
336.0,35359.0
337.0,35466.0
338.0,35573.0
339.0,35680.0
340.0,35787.0
341.0,35894.0
342.0,36001.0
343.0,36108.0
344.0,36215.0
345.0,36322.0
346.0,36429.0
347.0,36536.0
348.0,36643.0
349.0,36750.0
350.0,36857.0
351.0,36964.0
352.0,37071.0
353.0,37178.0
354.0,37285.0
355.0,37392.0
356.0,37499.0
357.0,37606.0
358.0,37713.0
359.0,37820.0
360.0,37927.0
361.0,38034.0
362.0,38141.0
363.0,38248.0
364.0,38355.0
365.0,38462.0
366.0,38569.0
367.0,38676.0
368.0,38783.0
369.0,38890.0
370.0,38997.0
371.0,39104.0
372.0,39211.0
373.0,39318.0
374.0,39425.0
375.0,39532.0
376.0,39639.0
377.0,39746.0
378.0,39853.0
379.0,39960.0
380.0,40067.0
381.0,40174.0
382.0,40281.0
383.0,40388.0
384.0,40495.0
385.0,40602.0
386.0,40709.0
387.0,40816.0
388.0,40923.0
389.0,41030.0
390.0,41137.0
391.0,41244.0
392.0,41351.0
393.0,41458.0
394.0,41565.0
395.0,41672.0
396.0,41779.0
397.0,41886.0
398.0,41993.0
399.0,42100.0
400.0,42207.0
401.0,42314.0
402.0,42421.0
403.0,42528.0
404.0,42635.0
405.0,42742.0
406.0,42849.0
407.0,42956.0
408.0,43063.0
409.0,43170.0
410.0,43277.0
411.0,43384.0
412.0,43491.0
413.0,43598.0
414.0,43705.0
415.0,43812.0
416.0,43919.0
417.0,44026.0
418.0,44133.0
419.0,44240.0
420.0,44347.0
421.0,44454.0
422.0,44561.0
423.0,44668.0
424.0,44775.0
425.0,44882.0
426.0,44989.0
427.0,45096.0
428.0,45203.0
429.0,45310.0
430.0,45417.0
431.0,45524.0
432.0,45631.0
433.0,45738.0
434.0,45845.0
435.0,45952.0
436.0,46059.0
437.0,46166.0
438.0,46273.0
439.0,46380.0
440.0,46487.0
441.0,46594.0
442.0,46701.0
443.0,46808.0
444.0,46915.0
445.0,47022.0
446.0,47129.0
447.0,47236.0
448.0,47343.0
449.0,47450.0
450.0,47557.0
451.0,47664.0
452.0,47771.0
453.0,47878.0
454.0,47985.0
455.0,48092.0
456.0,48199.0
457.0,48306.0
458.0,48413.0
459.0,48520.0
460.0,48627.0
461.0,48734.0
462.0,48841.0
463.0,48948.0
464.0,49055.0
465.0,49162.0
466.0,49269.0
467.0,49376.0
468.0,49483.0
469.0,49590.0
470.0,49697.0
471.0,49804.0
472.0,49911.0
473.0,50018.0
474.0,50125.0
475.0,50232.0
476.0,50339.0
477.0,50446.0
478.0,50553.0
479.0,50660.0
480.0,50767.0
481.0,50874.0
482.0,50981.0
483.0,51088.0
484.0,51195.0
485.0,51302.0
486.0,51409.0
487.0,51516.0
488.0,51623.0
489.0,51730.0
490.0,51837.0
491.0,51944.0
492.0,52051.0
493.0,52158.0
494.0,52265.0
495.0,52372.0
496.0,52479.0
497.0,52586.0
498.0,52693.0
499.0,52800.0
500.0,52907.0
501.0,53014.0
502.0,53121.0
503.0,53228.0
504.0,53335.0
505.0,53442.0
506.0,53549.0
507.0,53656.0
508.0,53763.0
509.0,53870.0
510.0,53977.0
511.0,54084.0
512.0,54191.0
513.0,54298.0
514.0,54405.0
515.0,54512.0
516.0,54619.0
517.0,54726.0
518.0,54833.0
519.0,54940.0
520.0,55047.0
521.0,55154.0
522.0,55261.0
523.0,55368.0
524.0,55475.0
525.0,55582.0
526.0,55689.0
527.0,55796.0
528.0,55903.0
529.0,56010.0
530.0,56117.0
531.0,56224.0
532.0,56331.0
533.0,56438.0
534.0,56545.0
535.0,56652.0
536.0,56759.0
537.0,56866.0
538.0,56973.0
539.0,57080.0
540.0,57187.0
541.0,57294.0
542.0,57401.0
543.0,57508.0
544.0,57615.0
545.0,57722.0
546.0,57829.0
547.0,57936.0
548.0,58043.0
549.0,58150.0
550.0,58257.0
551.0,58364.0
552.0,58471.0
553.0,58578.0
554.0,58685.0
555.0,58792.0
556.0,58899.0
557.0,59006.0
558.0,59113.0
559.0,59220.0
560.0,59327.0
561.0,59434.0
562.0,59541.0
563.0,59648.0
564.0,59755.0
565.0,59862.0
566.0,59969.0
567.0,60076.0
568.0,60183.0
569.0,60290.0
570.0,60397.0
571.0,60504.0
572.0,60611.0
573.0,60718.0
574.0,60825.0
575.0,60932.0
576.0,61039.0
577.0,61146.0
578.0,61253.0
579.0,61360.0
580.0,61467.0
581.0,61574.0
582.0,61681.0
583.0,61788.0
584.0,61895.0
585.0,62002.0
586.0,62109.0
587.0,62216.0
588.0,62323.0
589.0,62430.0
590.0,62537.0
591.0,62644.0
592.0,62751.0
593.0,62858.0
594.0,62965.0
595.0,63072.0
596.0,63179.0
597.0,63286.0
598.0,63393.0
599.0,63500.0
600.0,63607.0
601.0,63714.0
602.0,63821.0
603.0,63928.0
604.0,64035.0
605.0,64142.0
606.0,64249.0
607.0,64356.0
608.0,64463.0
609.0,64570.0
610.0,64677.0
611.0,64784.0
612.0,64891.0
613.0,64998.0
614.0,65105.0
615.0,65212.0
616.0,65319.0
617.0,65426.0
618.0,65533.0
619.0,65640.0
620.0,65747.0
621.0,65854.0
622.0,65961.0
623.0,66068.0
624.0,66175.0
625.0,66282.0
626.0,66389.0
627.0,66496.0
628.0,66603.0
629.0,66710.0
630.0,66817.0
631.0,66924.0
632.0,67031.0
633.0,67138.0
634.0,67245.0
635.0,67352.0
636.0,67459.0
637.0,67566.0
638.0,67673.0
639.0,67780.0
640.0,67887.0
641.0,67994.0
642.0,68101.0
643.0,68208.0
644.0,68315.0
645.0,68422.0
646.0,68529.0
647.0,68636.0
648.0,68743.0
649.0,68850.0
650.0,68957.0
651.0,69064.0
652.0,69171.0
653.0,69278.0
654.0,69385.0
655.0,69492.0
656.0,69599.0
657.0,69706.0
658.0,69813.0
659.0,69920.0
660.0,70027.0
661.0,70134.0
662.0,70241.0
663.0,70348.0
664.0,70455.0
665.0,70562.0
666.0,70669.0
667.0,70776.0
668.0,70883.0
669.0,70990.0
670.0,71097.0
671.0,71204.0
672.0,71311.0
673.0,71418.0
674.0,71525.0
675.0,71632.0
676.0,71739.0
677.0,71846.0
678.0,71953.0
679.0,72060.0
680.0,72167.0
681.0,72274.0
682.0,72381.0
683.0,72488.0
684.0,72595.0
685.0,72702.0
686.0,72809.0
687.0,72916.0
688.0,73023.0
689.0,73130.0
690.0,73237.0
691.0,73344.0
692.0,73451.0
693.0,73558.0
694.0,73665.0
695.0,73772.0
696.0,73879.0
697.0,73986.0
698.0,74093.0
699.0,74200.0
700.0,74307.0
701.0,74414.0
702.0,74521.0
703.0,74628.0
704.0,74735.0
705.0,74842.0
706.0,74949.0
707.0,75056.0
708.0,75163.0
709.0,75270.0
710.0,75377.0
711.0,75484.0
712.0,75591.0
713.0,75698.0
714.0,75805.0
715.0,75912.0
716.0,76019.0
717.0,76126.0
718.0,76233.0
719.0,76340.0
720.0,76447.0
721.0,76554.0
722.0,76661.0
723.0,76768.0
724.0,76875.0
725.0,76982.0
726.0,76989.0
727.0,77096.0
728.0,77203.0
729.0,77310.0
730.0,77417.0
731.0,77524.0
732.0,77631.0
733.0,77738.0
734.0,77845.0
735.0,77952.0
736.0,78059.0
737.0,78166.0
738.0,78273.0
739.0,78380.0
740.0,78487.0
741.0,78594.0
742.0,78701.0
743.0,78808.0
744.0,78915.0
745.0,79022.0
746.0,79129.0
747.0,79236.0
748.0,79343.0
749.0,79450.0
750.0,79557.0
751.0,79664.0
752.0,79771.0
753.0,79878.0
754.0,79985.0
755.0,80092.0
756.0,80199.0
757.0,80306.0
758.0,80413.0
759.0,80520.0
760.0,80627.0
761.0,80734.0
762.0,80841.0
763.0,80948.0
764.0,81055.0
765.0,81162.0
766.0,81269.0
767.0,81376.0
768.0,81483.0
769.0,81590.0
770.0,81697.0
771.0,81804.0
772.0,81911.0
773.0,82018.0
774.0,82125.0
775.0,82232.0
776.0,82339.0
777.0,82446.0
778.0,82553.0
779.0,82660.0
780.0,82767.0
781.0,82874.0
782.0,82981.0
783.0,83088.0
784.0,83195.0
785.0,83302.0
786.0,83409.0
787.0,83516.0
788.0,83623.0
789.0,83730.0
